Class,Q1_e1,Q2_e1,Q3_e1,Q4_e1,Q5_e1,Q6_e1,Q7_e1,Q8_e1,Q9_e1,Q10_e1,Q1_e2,Q2_e2,Q3_e2,Q4_e2,Q5_e2,Q6_e2,Q7_e2,Q8_e2,Q9_e2,Q10_e2
a,5.294.117.647.058.820,5.882.352.941.176.470,6.176.470.588.235.290,7.941.176.470.588.230,6.764.705.882.352.940,5.588.235.294.117.640,5.588.235.294.117.640,0.5,5.882.352.941.176.470,6.470.588.235.294.110,8.823.529.412,7.941.176.471,9.705.882.353,9.411.764.706,8.235.294.118,7.941.176.471,8.235.294.118,8.529.411.765,9.411.764.706,7.647.058.824
b,0.8,7.333.333.333.333.330,7.666.666.666.666.660,6.666.666.666.666.660,6.333.333.333.333.330,0.7,5.666.666.666.666.660,6.666.666.666.666.660,7.333.333.333.333.330,0.8,8.333.333.333,0.9,0.8,7.666.666.667,9.666.666.667,8.333.333.333,8.666.666.667,8.333.333.333,0.8,7.333.333.333
